source,target,tgt_lng
Server Configuration Tuning,服务器配置调优,
ALTER TABLE SET STATISTICS,ALTER TABLE SET STATISTICS,
Checkpoints,检查点,
PostgreSQL,PostgreSQL,
checkpoint_segments,checkpoint_segments,
min_wal_size,min_wal_size,
max_wal_size,max_wal_size,
WAL,预写日志,
checkpoint_timeout,checkpoint_timeout,
checkpoint_completion_target,checkpoint_completion_target,
work_mem,work_mem,
database,数据库,
memory,内存,
disk-based sort,基于磁盘的排序,
data warehousing report,数据仓库报告,
gigabyte,千兆字节,
client,客户端,
per-sort parameter,每次排序参数,
RAM,随机存取存储器,
shared_buffers,shared_buffers,
OS caching size,操作系统缓存大小,
effective_cache_size,effective_cache_size,
max_connections,max_connections,
hash structures,哈希结构,
client memory size threshold,客户端内存大小阈值,
memory allocation decision,内存分配决策,
synchronous_commit,synchronous_commit,
random_page_cost,random_page_cost,
queries,查询,
query optimization,查询优化,
planner,规划器,
indexed queries,索引查询,
sequential scan,顺序扫描,
Windows,Windows,
Mac OS X,Mac OS X,
OS,操作系统,
write-back caches,回写缓存,
database writes,数据库写入,
hard drive write cache,硬盘写入缓存,
wal_sync_method,wal_sync_method,
UNIX-like system,类UNIX系统,
write/fsync,写入/fsync,
write/fdatasync,写入/fdatasync,
synchronous write,同步写入,
DSYNC,DSYNC,
SHOW,SHOW,
configuration file,配置文件,
open_datasync,open_datasync,
direct I/O,直接I/O,
operating system cache,操作系统缓存,
Linux,Linux,
fdatasync,fdatasync,
filesystem,文件系统,
ext3,ext3,
O_SYNC writes,O_SYNC写入,
corruption,数据损坏,
PANIC,PANIC,
open_sync,open_sync,
http://archives.postgresql.org/pgsql-hackers/2007-10/msg01310.php,http://archives.postgresql.org/pgsql-hackers/2007-10/msg01310.php,
2.6.32 kernels,2.6.32内核,
ext4 filesystem,ext4文件系统,
database level,数据库层面,
smarter planner,更智能的规划器,
current versions,当前版本,
statistics,统计信息,
memory parameters,内存参数,
query planner,查询规划器,
constraint_exclusion,约束排除,
PostgreSQL 8.3,PostgreSQL 8.3,
table inheritance feature,表继承功能,
partitioning chapter,分区章节,
8.4,8.4,
partition,分区,
Tunables to avoid,应避免调整的参数,
postgesql.conf,postgesql.conf,
fsync,fsync,
crash recovery,崩溃恢复,
WAL sync calls,WAL同步调用,
server crash,服务器崩溃,
performance speedup,性能加速,
OS cache,操作系统缓存,
buffer cache,缓冲区缓存,
parameter,参数,
per-client basis,按客户端,
hardware chapter,硬件章节,
physical disk commits,物理磁盘提交,
bottleneck,瓶颈,
transactions,事务,
battery-backed write cache,电池备份写入缓存,
commit speed,提交速度,
asynchronous commits,异步提交,
wal_writer_delay parameter,预写日志写入延迟参数,
default settings,默认设置,
client commit,客户端提交,
server,服务器,
data,数据,
server-wide choice,服务器范围的选择,
physical commit guarantees,物理提交保证,
activity monitoring table,活动监控表,
monetary transactions,货币交易,
segments,段,
disk I/O curve,磁盘I/O曲线,
OS-level monitoring,操作系统级监控,
wal_buffers,WAL缓冲区,
documentation,文档,
transaction,事务,
write-heavy benchmarks,写入密集型基准测试,
shared memory,共享内存,
WAL segment,WAL段,
server memory,服务器内存,
"Chapter 2, Database Hardware",第2章 数据库硬件,
volatile write-back caches,易失性回写缓存,
caching behavior,缓存行为,
server source code,服务器源代码,
postgresql.conf file,postgresql.conf文件,
initdb,initdb,
pull the cord test,拔线测试,
PITR,PITR,
WAL replication,WAL复制,
archive_mode,archive_mode,
archive_command,archive_command,
archive_timeout,archive_timeout,
Chapter 14,第14章,
Scaling with Replication,通过复制扩展,
Per-client settings,每客户端设置,
SET command,SET命令,
filesystem cache,文件系统缓存,
effective cache size,有效缓存大小,
UNIX-like systems,类UNIX系统,
free command,free命令,
top commands,top命令,
Windows Task Manager,Windows任务管理器,
Performance tab,性能选项卡,
System Cache,系统缓存,
