source,target,tgt_lng
Memory for Database Caching,数据库缓存内存,
Very large systems,超大型系统,
RAM,内存,
buffer cache,缓冲区缓存,
PostgreSQL 8.4,PostgreSQL 8.4,
gigabyte range,千兆字节范围,
servers,服务器,
database,数据库,
cache inspection,缓存检查,
PostgreSQL default install,PostgreSQL 默认安装,
shared_buffers,共享缓冲区,
standard guidelines,标准指南,
Analyzing buffer cache contents,分析缓冲区缓存内容,
block,块,
usage count,使用计数,
dirty block,脏块,
disk,磁盘,
academic exercise,学术练习,
shared buffer cache,共享缓冲区缓存,
rule of thumb,经验法则,
OS cache,操作系统缓存,
benchmarks,基准测试,
application,应用程序,
shared memory,共享内存,
Inspection of the buffer cache queries,缓冲区缓存查询检查,
PostgreSQL in version 8.3,PostgreSQL 8.3版本,
queries,查询,
usagecount,使用计数,
values,值,
types,类型,
LRU algorithm,LRU算法,
database shared buffer cache,数据库共享缓冲区缓存,
PostgreSQL,PostgreSQL,
shared buffers,共享缓冲区,
checkpoint spike,检查点尖峰,
shared memory block,共享内存块,
operating system cache,操作系统缓存,
shared memory allocation limits,共享内存分配限制,
Crash recovery,崩溃恢复,
WAL,WAL,
checkpoint,检查点,
crash recovery time,崩溃恢复时间,
Server Configuration Tuning,服务器配置调优,
official manual,官方手册,
internal,内部设置,
database internals,数据库内部结构,
compile time,编译时,
recompiling the server,重新编译服务器,
postmaster,postmaster,
server restart,服务器重启,
shared memory settings,共享内存设置,
sighup,SIGHUP信号,
HUP signal,HUP信号,
postgresql.conf file,postgresql.conf 文件,
backend,后端,
database backend sessions,数据库后端会话,
log_connections,log_connections,
superuser,超级用户,
postgres,postgres,
configuration reload,配置重载,
logging,日志记录,
statements,语句,
user,用户,
user sessions,用户会话,
query execution,查询执行,
superuser-backend,超级用户后端,
libpq,libpq,
PGOPTIONS,PGOPTIONS,
Defaults,默认值,
reset values,重置值,
server,服务器,
pg_settings view,pg_settings 视图,
boot val column,boot_val 列,
Official documentation of PostgreSQL,PostgreSQL 官方文档,
RESET command,RESET 命令,
reset_val,reset_val,
Allowed change context,允许的更改上下文,
configuration setting,配置设置,
context,上下文,
server parameter,服务器参数,
postgresql.conf,postgresql.conf,
database directory structure,数据库目录结构,
UNIX-like systems,类UNIX系统,
official documentation,官方文档,
performance tuning,性能调优,
manual,手册,
Tuning Your PostgreSQL Server,PostgreSQL服务器调优,
wiki,维基,
live configuration,实时配置,
configuration file,配置文件,
server downtime,服务器停机时间,
routine configuration changes,常规配置更改,
bufcache.sh,bufcache.sh,
pgbench,pgbench,
database contrib. utility,数据库贡献工具,
usagecount mechanism,使用计数机制,
accounts table,账户表,
pg_buffercache module,pg_buffercache模块,
pgbench database,pgbench数据库,
broad locks,广泛锁,
snapshot,快照,
buffer usage count distribution,缓冲区使用计数分布,
usage counts,使用计数,
relation,关系,
tables,表,
primary key index,主键索引,
buffers,缓冲区,
cache,缓存,
accounts data,账户数据,
pgbench_accounts_pkey,pgbench_accounts_pkey,
popular relation,热门关系,
memory,内存,
pgbench_accounts,pgbench_accounts,
transient data,临时数据,
index,索引,
buffer cache inspection,缓冲区缓存检查,
sizing feedback,容量调整反馈,
shared_buffers cache,shared_buffers缓存,
application's performance,应用程序性能,
hit rates,命中率,
pg_stat_user_tables,pg_stat_user_tables,
work mem,工作内存,
Reloading the configuration file,重载配置文件,
pg_reload_conf,pg_reload_conf,
UNIX kill command,UNIX kill 命令,
SIGHUP signal,SIGHUP 信号,
pg_ctl,pg_ctl,
LOG,日志,
database log files,数据库日志文件,
SHOW,SHOW,
pg_settings,pg_settings,
pg_relation_size(),pg_relation_size(),
TOAST table,TOAST表,
PostgreSQL 9.0,PostgreSQL 9.0,
pg_table_size(),pg_table_size(),
TOAST,TOAST,
pgbench_accounts_key,pgbench_accounts_key,
usagecount data,使用计数数据,
Summary by usage count,按使用次数汇总,
pg_total_relation_size(),pg_total_relation_size(),
regclass type,regclass类型,
pg_class,pg_class,
OID,OID,
Top relations in the cache,缓存中的主要关系,
pg_buffercache,pg_buffercache,
system tables,系统表,
pgbench_accounts table,pgbench_accounts表,
primary key,主键,
SELECT statements,SELECT语句,
