source,target,tgt_lng
Server Configuration Tuning,服务器配置调优,
checkpoints,检查点,
segments,段,
disk I/O curve,磁盘I/O曲线,
OS-level monitoring,操作系统级监控,
wal_buffers,WAL缓冲区,
transaction,事务,
write-heavy benchmarks,写密集型基准测试,
shared memory,共享内存,
WAL segment,WAL段,
server memory,服务器内存,
bottleneck,瓶颈,
wal_sync_method,WAL同步方法,
"Chapter 2, Database Hardware",第2章，数据库硬件,
volatile write-back caches,易失性回写缓存,
caching behavior,缓存行为,
server source code,服务器源代码,
postgresql.conf file,postgresql.conf文件,
initdb,initdb,
shared_buffers,共享缓冲区,
SHOW,SHOW,
Linux,Linux,
work_mem,工作内存,
database,数据库,
data,数据,
memory,内存,
disk-based sort,基于磁盘的排序,
data warehousing report,数据仓库报告,
gigabyte,千兆字节,
client,客户端,
per-sort parameter,每次排序参数,
RAM,内存,
OS caching size,操作系统缓存大小,
effective_cache_size,有效缓存大小,
max_connections,最大连接数,
PostgreSQL,PostgreSQL,
hash structures,哈希结构,
memory allocation decision,内存分配决策,
synchronous_commit,同步提交,
random_page_cost,随机页面成本,
queries,查询,
query optimization,查询优化,
planner,规划器,
indexed queries,索引查询,
sequential scan,顺序扫描,
Windows,Windows,
Mac OS X,Mac OS X,
OS,操作系统,
write-back caches,回写缓存,
database writes,数据库写入,
hard drive write cache,硬盘写入缓存,
UNIX-like system,类UNIX系统,
write/fsync,write/fsync,
write/fdatasync,write/fdatasync,
synchronous write,同步写入,
DSYNC,DSYNC,
configuration file,配置文件,
open_datasync,open_datasync,
direct I/O,直接I/O,
operating system cache,操作系统缓存,
fdatasync,fdatasync,
filesystem,文件系统,
ext3,ext3,
O_SYNC,O_SYNC,
PANIC,PANIC,
open_sync,open_sync,
http://archives.postgresql.org/pgsql-hackers/2007-10/msg01310.php,http://archives.postgresql.org/pgsql-hackers/2007-10/msg01310.php,
2.6.32,2.6.32,
ext4 filesystem,ext4文件系统,
database level,数据库级别,
fsync,fsync,
Initial bulk loading,初始批量加载,
battery-backed write cache,电池备份写入缓存,
full_page_writes,全页写入,
partial page writes,部分页写入,
commit_delay,提交延迟,
commit_siblings,提交兄弟事务数,
RAID stripe sizes,RAID条带大小,
max_prepared_transactions,最大预备事务数,
prepared statements,预备语句,
SQL injection,SQL注入,
prepared transaction,预备事务,
PREPARE TRANSACTION,PREPARE TRANSACTION,
two-phase commit,两阶段提交,
2PC,2PC,
smarter planner,更智能的规划器,
current versions,当前版本,
statistics,统计信息,
memory parameters,内存参数,
query planner,查询规划器,
constraint_exclusion,约束排除,
PostgreSQL 8.3,PostgreSQL 8.3,
table inheritance feature,表继承功能,
partition,分区,
partitioning chapter,分区章节,
8.4,8.4,
postgesql.conf file,postgesql.conf 文件,
crash recovery,崩溃恢复,
WAL sync calls,WAL 同步调用,
server crash,服务器崩溃,
performance speedup,性能加速,
PostgreSQL versions,PostgreSQL 版本,
fsync calls,fsync 调用,
reliability,可靠性,
performance,性能,
OS cache,操作系统缓存,
buffer cache,缓冲区缓存,
parameter,参数,
per-client basis,按客户端,
hardware chapter,硬件章节,
physical disk commits,物理磁盘提交,
transactions,事务,
commit speed,提交速度,
asynchronous commits,异步提交,
wal_writer_delay parameter,WAL写入延迟参数,
client commit,客户端提交,
server,服务器,
server-wide choice,服务器范围的选择,
physical commit guarantees,物理提交保证,
activity monitoring table,活动监控表,
monetary transactions,货币交易,
max wal size,最大WAL大小,
work mem,工作内存,
Shared server guidelines,共享服务器指南,
database server,数据库服务器,
system RAM,系统内存,
max_wal_size,最大WAL大小,
connection pooler,连接池,
Query enable parameters,查询启用参数,
optimizer hints,优化器提示,
indexes,索引,
sequential scans,顺序扫描,
query optimizer,查询优化器,
New server tuning,新服务器调优,
Dedicated server guidelines,专用服务器指南,
Initial server tuning,初始服务器调优,
logging default,日志默认设置,
system memory,系统内存,
PostgreSQL version,PostgreSQL版本,
spread checkpoints,分散检查点,
workload,工作负载,
32 bit,32位,
Windows OS,Windows操作系统,
maximum connections,最大连接数,
clients,客户端,
PITR,时间点恢复,
WAL replication,WAL复制,
archive_mode,归档模式,
archive_command,归档命令,
archive_timeout,归档超时,
"Chapter 14, Scaling with Replication",第14章，通过复制进行扩展,
Per-client settings,每客户端设置,
SET command,SET命令,
filesystem cache,文件系统缓存,
UNIX-like systems,类UNIX系统,
free command,free命令,
top commands,top命令,
Windows Task Manager's Performance tab,Windows任务管理器性能选项卡,
System Cache size,系统缓存大小,
initial parameters,初始参数,
OS filesystem cache,操作系统文件系统缓存,
total memory,总内存,
sort performance,排序性能,
maintenance_work_mem,maintenance_work_mem,
checkpoint_segments,checkpoint_segments,
server-class hardware,服务器级硬件,
default_statistics_target,default_statistics_target,
max_fsm_pages,max_fsm_pages,
database workload,数据库工作负载,
pgtune,pgtune,
PostgreSQL 8.4,PostgreSQL 8.4,
postgresql.conf,postgresql.conf,
data warehouse server,数据仓库服务器,
developer workstation,开发工作站,
web interface,Web界面,
