source,target,tgt_lng
Server Configuration Tuning,服务器配置调优,
work_mem,工作内存,
postgresql.conf,postgresql.conf,
configuration reload,配置重载,
backend,后端,
Reloading the configuration file,重载配置文件,
database,数据库,
sighup category,SIGHUP类别,
superuser,超级用户,
pg_reload_conf,pg_reload_conf,
HUP signal,HUP信号,
UNIX kill command,UNIX kill命令,
SIGHUP signal,SIGHUP信号,
server,服务器,
pg_ctl,pg_ctl,
LOG,日志,
database log files,数据库日志文件,
SHOW,SHOW,
pg_settings,pg_settings,
maintainance_work_mem,维护工作内存,
VACUUM,VACUUM,
CREATE INDEX,CREATE INDEX,
ALTER TABLE ADD FOREIGN KEY,ALTER TABLE ADD FOREIGN KEY,
autovacuum max workers,自动清理最大工作进程数,
version 8.3,版本 8.3,
RAM,内存,
default_statistics_target,默认统计目标,
PostgreSQL,PostgreSQL,
ANALYZE,ANALYZE,
autovacuum,自动清理,
LIKE operator,LIKE 运算符,
PostgreSQL 8.4,PostgreSQL 8.4,
max_connections,最大连接数,
initdb,initdb,
shared memory,共享内存,
shared_buffers,共享缓冲区,
database cluster,数据库集群,
nonshared memory,非共享内存,
Windows PostgreSQL servers,Windows PostgreSQL 服务器,
desktop heap area,桌面堆区域,
connection pooling software,连接池软件,
application,应用程序,
ALTER TABLE SET STATISTICS,ALTER TABLE SET STATISTICS,
Checkpoints,检查点,
checkpoint_segments,checkpoint_segments,
min_wal_size,min_wal_size,
max_wal_size,max_wal_size,
WAL,预写日志,
checkpoint_timeout,checkpoint_timeout,
checkpoint_completion_target,checkpoint_completion_target,
Chapter 7,第七章,
Routine Maintenance,日常维护,
Query Optimization,查询优化,
database performance,数据库性能,
PostgreSQL 8.1,PostgreSQL 8.1,
autovacuum daemon,自动清理守护进程,
background,后台,
threshold,阈值,
table size,表大小,
parameter,参数,
PostgreSQL 8.3,PostgreSQL 8.3,
default settings,默认设置,
smaller databases,小型数据库,
manual tuning,手动调优,
Enabling autovacuum,启用自动清理,
track_count,track_count,
stats_start_collector,stats_start_collector,
stats_row_level,stats_row_level,
latest version,最新版本,
9.3,9.3,
documentation,文档,
superuser_reserved_connections,超级用户保留连接数,
autovacuum's processes,自动清理进程,
PostgreSQL 8.2,PostgreSQL 8.2,
fine tuning,微调,
maintenance,维护,
overhead,开销,
single worker,单工作进程,
busy server,繁忙服务器,
PostgreSQL version,PostgreSQL版本,
performance issues,性能问题,
Database connections,数据库连接,
listen_addresses,监听地址,
pg_hba.conf,pg_hba.conf,
denial of service attack,拒绝服务攻击,
Internet-wide queries,全网查询,
firewall,防火墙,
cloud-hosted databases,云托管数据库,
Statement logging,语句日志记录,
log_statement,log_statement,
analysis tools,分析工具,
log_min_duration_statement,log_min_duration_statement,
query statement,查询语句,
milliseconds,毫秒,
outlier statements,异常语句,
version 8.4,版本8.4,
auto_explain module,auto_explain模块,
EXPLAIN plans,EXPLAIN计划,
Vacuuming,清理,
statistics,统计信息,
PostgreSQL databases,PostgreSQL数据库,
regular maintenance,常规维护,
old transactions,旧事务,
freed space,释放的空间,
UPDATE,UPDATE,
DELETE,DELETE,
vacuum cleaning regime,清理机制,
static tables,静态表,
tables,表,
query planning,查询规划,
segments,段,
disk I/O curve,磁盘I/O曲线,
OS-level monitoring,操作系统级监控,
wal_buffers,WAL缓冲区,
WAL segment,WAL段,
server memory,服务器内存,
bottleneck,瓶颈,
wal_sync_method,WAL同步方法,
"Chapter 2, Database Hardware",第2章 数据库硬件,
volatile write-back caches,易失性回写缓存,
caching behavior,缓存行为,
server source code,服务器源代码,
postgresql.conf file,postgresql.conf文件,
Linux,Linux,
Commented-out settings,注释掉的设置,
sighup context setting,SIGHUP上下文设置,
reload command,重新加载命令,
log file,日志文件,
SIGHUP,SIGHUP,
reloading configuration files,重新加载配置文件,
configuration file,配置文件,
default,默认值,
SHOW command,SHOW命令,
PostgreSQL administrators,PostgreSQL管理员,
SHOW statement,SHOW语句,
master postgresql.conf,主postgresql.conf,
additional configuration files,附加配置文件,
line,行,
Free space map,空闲空间映射,
max_fsm_pages,最大空闲空间映射页数,
max_fsm_relations,最大空闲空间映射关系数,
Logging,日志记录,
parameters,参数,
log_destination,日志目标,
log_directory,日志目录,
log_filename,日志文件名,
log files,日志文件,
system administration,系统管理,
environment,环境,
defaults,默认值,
chapter,章节,
CSV logging,CSV日志记录,
query timing,查询计时,
UNIX-like systems,类UNIX系统,
database logging,数据库日志记录,
script,脚本,
pg_ctl command,pg_ctl命令,
logfilename,日志文件名,
standard location,标准位置,
log_line_prefix,日志行前缀,
Timestamp,时间戳,
Database username,数据库用户名,
Remote host connection,远程主机连接,
Process ID,进程ID,
pgFouine program,pgFouine程序,
monitoring chapter,监控章节,
query analysis,查询分析,
statement-level information,语句级信息,
data definition language,数据定义语言,
DDL statements,DDL语句,
CREATE,CREATE,
DROP,DROP,
production,生产环境,
administrators,管理员,
statement that modifies a value,修改值的语句,
SELECT statements,SELECT语句,
workload,工作负载,
